"text","created","url","latitude","longitude","retweets","hashtag"
"@Rschooley I<e2><80><99>d like to see the Trump Girls fight it out with the Trumpettes. Who would win? 

A) Trump Girls
B) Tru<e2><80><a6> https://t.co/d6bsXn5yw0",2019-09-30 06:43:32,"https://twitter.com/realHirondelle/status/1178560997029662720",NA,NA,0,"Trump"
"Exclusive: Trump admin. has more sanctions in store fore Iran https://t.co/4ILZdpjZCC via @YouTube",2019-09-30 06:43:32,"https://twitter.com/fl85/status/1178560996698476544",NA,NA,0,"Trump"
"Giuliani says Trump did not pay for his globetrotting push for Biden probe - Reuters

Giuliani says Trump did not p<e2><80><a6> https://t.co/ZiQ3Ak58tw",2019-09-30 06:43:31,"https://twitter.com/NEWSWORLD555/status/1178560991933526017",NA,NA,0,"Trump"
"@girlsreallyrule Problem is every AMERICAN knows a PRESIDENT cant get everything done in 4 years. But trump has pro<e2><80><a6> https://t.co/HSJvmvLjEj",2019-09-30 06:43:31,"https://twitter.com/Jennife41630176/status/1178560990947901440",NA,NA,0,"Trump"
"Trump Incoherent Spectacle https://t.co/MQiRPu1PIp",2019-09-30 06:43:31,"https://twitter.com/lesbianintell/status/1178560990662680576",NA,NA,0,"Trump"
"@BrianQuinn1776 @robertjeffress @JoeBiden @realDonaldTrump Fuck Biden. If he broke the law, throw him in jail. But<e2><80><a6> https://t.co/AcAzCWsqxH",2019-09-30 06:43:31,"https://twitter.com/AaronKodes/status/1178560989567995904",NA,NA,0,"Trump"
"Lindsay Graham is a Russian asset.
Just listen to him say Trump did nothing wrong.
But under Bill Clinton, he was a<e2><80><a6> https://t.co/iwA0v1skuz",2019-09-30 06:43:30,"https://twitter.com/bestsasquatch/status/1178560988305444864",NA,NA,0,"Trump"
"@w_terrence @realDonaldTrump Use you're head for more than a hat rack for that red hood your wearing. Money means n<e2><80><a6> https://t.co/B8JzlZGxJY",2019-09-30 06:43:30,"https://twitter.com/ajonesus2/status/1178560988179845122",NA,NA,0,"Trump"
"@HeloRed @glorylin007 @thedailybeast With Trump in office, YES!",2019-09-30 06:43:30,"https://twitter.com/NinaHKatz/status/1178560987844075520",NA,NA,0,"Trump"
"@lambertdebb @TravelerOfTheU1 Just wait for my next picture with Trump and Obama....",2019-09-30 06:43:29,"https://twitter.com/RolfTheGreek/status/1178560984119689216",NA,NA,0,"Trump"
